"Category";"Time (MM:SS.SSS)";"Scrambler";"Date";"Penalty +2 (yes or no)";"DNF (yes or no)";"Section"
2x2x2;00:23.307;;2018-12-20 13:40;no;no;1545308691198;
2x2x2;00:15.924;;2018-12-20 13:40;no;no;1545308691198;
2x2x2;00:09.294;;2018-12-20 13:39;no;no;1545308691198;
2x2x2;00:10.919;;2018-12-20 13:39;no;no;1545308691198;
2x2x2;00:09.435;;2018-11-29 15:44;no;no;1543495026090;
2x2x2;00:10.608;;2018-11-29 15:44;no;no;1543495026090;
2x2x2;00:13.906;;2018-10-25 14:49;no;no;1540470079608;
2x2x2;00:05.108;;2018-10-25 14:49;no;no;1540470079608;
2x2x2;00:10.397;;2018-10-25 14:48;no;no;1540470079608;
2x2x2;00:11.374;;2018-10-25 14:46;no;no;1540470079608;
2x2x2;00:15.395;;2018-10-25 14:45;no;no;1540470079608;
2x2x2;00:07.500;;2018-10-25 14:45;no;no;1540470079608;
2x2x2;00:11.747;;2018-10-25 14:44;no;no;1540470079608;
2x2x2;00:09.726;;2018-10-25 14:44;no;no;1540470079608;
3x3x3;00:14.800;R F' U' F2 R2 B2 L' F R' F2 D' R2 F2 L B2 L2 U2 L U2;2019-08-04 19:47;no;no;1564940227774;
3x3x3;00:23.095;F2 L' B' U2 R L U' L U B R D2 F2 R B2 R' B2 U2 B2 R2;2019-08-04 19:45;no;no;1564940227774;
3x3x3;00:24.955;R' B L2 F U' B' L' D2 F2 L B U2 L2 B L2 B D2 F' U2 L2;2019-08-04 19:45;no;no;1564940227774;
3x3x3;00:22.832;L' D2 F2 R' F2 R B2 R' F2 L2 B' D' F R' U' F' D' L' F2 L;2019-08-04 19:44;no;no;1564940227774;
3x3x3;00:21.549;D' B2 R F2 U' R2 F D2 F' R' U2 F2 D' R2 F2 D2 F2 L2 U F2;2019-08-04 19:43;no;no;1564940227774;
3x3x3;00:16.912;U F2 U L2 U2 L2 B2 U L' U2 F L B L2 R2 U' L D' R' U;2019-08-04 19:42;no;no;1564940227774;
3x3x3;00:20.090;L2 R2 U R2 B2 D' B2 F2 U2 R' D' B' U' F' D2 B2 R D B2 U;2019-08-04 19:41;no;no;1564940227774;
3x3x3;00:20.924;F' L' U B R B' R' B2 R2 D' F U R2 L2 D' L2 D2 R2 D';2019-08-04 19:41;no;no;1564940227774;
