"Category";"Time (MM:SS.SSS)";"Scrambler";"Date";"Penalty +2 (yes or no)";"DNF (yes or no)";"Section"
2x2x2;00:23.307;;2018-12-20 13:40;no;no;1545308691198;
2x2x2;00:15.924;;2018-12-20 13:40;no;no;1545308691198;
2x2x2;00:09.294;;2018-12-20 13:39;no;no;1545308691198;
2x2x2;00:10.919;;2018-12-20 13:39;no;no;1545308691198;
2x2x2;00:09.435;;2018-11-29 15:44;no;no;1543495026090;
2x2x2;00:10.608;;2018-11-29 15:44;no;no;1543495026090;
2x2x2;00:13.906;;2018-10-25 14:49;no;no;1540470079608;
2x2x2;00:05.108;;2018-10-25 14:49;no;no;1540470079608;
2x2x2;00:10.397;;2018-10-25 14:48;no;no;1540470079608;
2x2x2;00:11.374;;2018-10-25 14:46;no;no;1540470079608;
2x2x2;00:15.395;;2018-10-25 14:45;no;no;1540470079608;
2x2x2;00:07.500;;2018-10-25 14:45;no;no;1540470079608;
2x2x2;00:11.747;;2018-10-25 14:44;no;no;1540470079608;
2x2x2;00:09.726;;2018-10-25 14:44;no;no;1540470079608;
3x3x3;00:19.446;;2019-01-25 22:04;no;no;1548444721244;
3x3x3;00:20.770;;2019-01-25 22:03;no;no;1548444721244;
3x3x3;00:21.596;;2019-01-25 22:02;no;no;1548444721244;
3x3x3;00:21.715;;2019-01-25 22:01;no;no;1548444721244;
3x3x3;00:21.461;;2019-01-25 21:59;no;no;1548444721244;
3x3x3;00:25.625;;2019-01-25 21:59;no;no;1548444721244;
3x3x3;00:21.947;;2019-01-25 21:58;no;no;1548444721244;
3x3x3;00:21.122;;2019-01-25 21:57;no;no;1548444721244;
3x3x3;00:19.927;;2019-01-25 21:57;no;no;1548444721244;
3x3x3;00:18.326;;2019-01-25 21:56;no;no;1548444721244;
3x3x3;00:23.399;;2019-01-25 21:55;no;no;1548444721244;
3x3x3;00:21.773;;2019-01-25 21:54;no;no;1548444721244;
3x3x3;00:16.503;;2019-01-25 21:54;no;no;1548444721244;
3x3x3;00:19.540;;2019-01-25 21:53;no;no;1548444721244;
3x3x3;00:23.594;;2019-01-25 21:52;no;no;1548444721244;
3x3x3;00:21.965;;2019-01-25 21:51;no;no;1548444721244;
3x3x3;00:23.303;;2019-01-25 21:50;no;no;1548444721244;
3x3x3;00:18.072;;2019-01-25 21:49;no;no;1548444721244;
3x3x3;00:19.958;;2019-01-25 21:48;no;no;1548444721244;
